基金代碼,基金名稱,日期,基金淨值
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-06-17,24.440000
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-06-18,24.560000
000AEFGLIU,天利(盧森堡)-環球資產配置基金I(美元),2015-06-19,24.580000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-06-17,21.760000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-06-18,21.540000
000AEFGLIUE,天利(盧森堡)-環球資產配置基金I(歐元),2015-06-19,21.700000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-06-17,18.070000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-06-18,18.210000
000AMEFEUA,天利(盧森堡)-美國選擇基金(美元),2015-06-19,18.120000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-06-17,16.090000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-06-18,15.970000
000AMEFEUAE,天利(盧森堡)-美國選擇基金(歐元),2015-06-19,16.000000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-06-17,22.070000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-06-18,22.230000
000AMEFEUAEH,天利(盧森堡)-美國選擇基金(歐元避險),2015-06-19,22.130000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-06-17,22.390000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-06-18,22.550000
000AMEFIEH,天利(盧森堡)-美國選擇基金I(歐元避險),2015-06-19,22.450000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-06-17,25.810000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-06-18,25.850000
000AMEGEMIEH,天利(盧森堡)-新興市場公司債券基金I(歐元避險),2015-06-19,25.860000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-06-17,32.060000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-06-18,32.240000
000AMEGLEE,天利(盧森堡)-全球能源股票基金(美元),2015-06-19,31.910000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-06-17,28.540000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-06-18,28.270000
000AMEGLEEE,天利(盧森堡)-全球能源股票基金(歐元),2015-06-19,28.170000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-06-17,23.580000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-06-18,23.710000
000AMEGLEEEH,天利(盧森堡)-全球能源股票基金(歐元避險),2015-06-19,23.470000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-06-17,29.340000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-06-18,29.380000
000AMEHIBA,天利(盧森堡)-美國高收入債券基金(美元),2015-06-19,29.690000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-06-17,26.120000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-06-18,25.760000
000AMEHIBAE,天利(盧森堡)-美國高收入債券基金(歐元),2015-06-19,26.200000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-06-17,28.080000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-06-18,28.110000
000AMEHIBAEH,天利(盧森堡)-美國高收入債券基金(歐元避險),2015-06-19,28.410000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-06-17,13.920000
000AMEHIBAUP,天利(盧森堡)-美國高收入債券基金(美元配息),2015-06-18,13.940000
